"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00500",6972.94200586488,-3.64430290034069,0.0743950656174342,-48.9858147189625,0,0
"EFEADKAH_01086",4066.13967260561,-3.48628405797421,0.0705911500042185,-49.3869848807658,0,0
"EFEADKAH_01801",122.087581992181,-3.41357963675701,0.235387768198207,-14.5019414682696,1.17771083169587e-47,4.37684395404607e-47
"EFEADKAH_01791",1574.4837775695,-3.38033010429079,0.0839291862733183,-40.275978528883,0,0
"EFEADKAH_02723",373.621894468547,-3.3763886141076,0.144662663338536,-23.3397376778986,1.75199932112198e-120,1.23089183073698e-119
"EFEADKAH_00395",119.836518235933,-3.28052865417612,0.23520395110103,-13.947591606431,3.25409456616521e-44,1.156585026229e-43
"EFEADKAH_02599",1547.06285664541,-3.26244405127203,0.0823095077473936,-39.6362964687434,0,0
"EFEADKAH_00499",4365.13905811401,-3.25944844731044,0.0694719989367766,-46.9174415188013,0,0
"EFEADKAH_02340",54.2657573658344,-3.25186758336072,0.338515405677157,-9.60626172051396,7.52308174539203e-22,1.89112330113525e-21
"EFEADKAH_01851",9.31564726646886,-3.23219944718982,0.805130317592447,-4.01450470385335,5.95707557997528e-05,9.47473656888944e-05
"EFEADKAH_00373",2957.43711246606,-3.19574967375082,0.0705358104550066,-45.3067690459065,0,0
"EFEADKAH_00397",19.4653047710094,-3.16157945703639,0.55469045491962,-5.69971851686998,1.20005410618925e-08,2.18812043318476e-08
"EFEADKAH_01776",162.783139558425,-3.13486778685927,0.206870206371504,-15.1537905909446,7.15198449338628e-52,2.81410982546557e-51
"EFEADKAH_00381",214.391918742029,-3.10067779700349,0.17521216516932,-17.6967038447763,4.44577964042277e-70,2.14050796105978e-69
"EFEADKAH_01023",49869.1985822231,-3.08972652315683,0.0501283104180699,-61.6363587240129,0,0
"EFEADKAH_00823",4438.32370599528,-3.08047167846789,0.0656087752911831,-46.9521289613503,0,0
"EFEADKAH_00372",1894.25421281359,-3.07406602271388,0.0776654340157786,-39.5808774092391,0,0
"EFEADKAH_01260",48.3113246846191,-3.06414077277562,0.345997727392921,-8.85595635515819,8.29693423506741e-19,1.96441160915107e-18
"EFEADKAH_00231",382.056200558009,-3.02261825594116,0.133911033527387,-22.5718387523533,8.19656818055161e-113,5.56406677841949e-112
"EFEADKAH_00331",2793.99689408083,-3.02049700413425,0.0724878286569158,-41.6690230635854,0,0
"EFEADKAH_01775",200.44221001747,-3.0089189514155,0.174157209523347,-17.2770278052263,7.00668514126748e-67,3.24894600242772e-66
"EFEADKAH_01366",18475.2159336098,-3.00205421167452,0.0646456327910474,-46.4386236480659,0,0
"EFEADKAH_00829",9854.60805259949,-2.96373568248731,0.0579410659291939,-51.1508657108432,0,0
"EFEADKAH_01807",642.793894911028,-2.94846767195058,0.109703797920477,-26.8766234883489,4.12125144706906e-159,3.64265450482878e-158
"EFEADKAH_01511",25916.8040648558,-2.94831168551816,0.0546076050672554,-53.9908622963228,0,0
"EFEADKAH_02107",2654.48414982487,-2.94058773000809,0.0757372044751719,-38.8261984368867,0,0
"EFEADKAH_00899",1290.69705051668,-2.90341723195929,0.0935269946053684,-31.0436280371254,1.39070924120741e-211,1.64376378548986e-210
"EFEADKAH_00094",1001.21732522983,-2.90125145914411,0.116065078330877,-24.9967647535916,6.62921860531268e-138,5.21683156042099e-137
"EFEADKAH_01024",109000.130212633,-2.8745097728293,0.074677028670315,-38.4925568680527,0,0
"EFEADKAH_02851",4548.11634537248,-2.83633979399363,0.0629922383978621,-45.0268138763251,0,0
"EFEADKAH_00513",3377.19316191139,-2.83277325756682,0.0671889588848016,-42.1612911493945,0,0
"EFEADKAH_02930",30.8861081829273,-2.79180045170308,0.441108079169083,-6.32906215855763,2.46655740887566e-10,4.7381797516579e-10
"EFEADKAH_00124",28463.0120723816,-2.77280377646043,0.0602822088343561,-45.997050043066,0,0
"EFEADKAH_00318",91.6385580371037,-2.76808641853413,0.249042055309212,-11.1149356485082,1.0612712083102e-28,2.98383528157365e-28
"EFEADKAH_01509",25959.6917144434,-2.76623152371416,0.0736711759201833,-37.5483557736494,0,0
"EFEADKAH_00828",1325.64937834367,-2.76402838236558,0.0829199501040974,-33.3336956775255,1.25518848922677e-243,1.73538445253646e-242
"EFEADKAH_00374",1099.29810084987,-2.75997407698867,0.0951402930975811,-29.0095183347595,4.99064459277498e-185,5.15130232966568e-184
"EFEADKAH_01503",12612.5327875764,-2.75577304049031,0.0690946688490242,-39.8840183533094,0,0
"EFEADKAH_00380",1827.1076534503,-2.75572793600848,0.0913631321456982,-30.162362774668,7.38515653787753e-200,8.24402289080107e-199
"EFEADKAH_01819",2741.48385263631,-2.73911911575321,0.0680833968919134,-40.2318221592517,0,0
"EFEADKAH_01510",83619.8897241815,-2.72022449738757,0.0574605758854805,-47.3407106606276,0,0
"EFEADKAH_01504",19567.3765942177,-2.71405186103509,0.0732198043422335,-37.0671826484192,9.49578849813059e-301,1.64484520306699e-299
"EFEADKAH_01281",360.477389445733,-2.70985639537048,0.128015700839128,-21.168156543359,1.8775913431338e-99,1.16202470394359e-98
"EFEADKAH_02765",1441.89253867241,-2.7042901334051,0.0824261756516283,-32.8086328405518,4.43477824981761e-236,5.96715252006708e-235
"EFEADKAH_00383",2268.08494242089,-2.69986106889314,0.0736271329753185,-36.6693766250303,2.2477970709434e-294,3.80610133248507e-293
"EFEADKAH_00637",1297.05987679331,-2.69659728004339,0.0861061744670915,-31.3171186239843,2.72880091764987e-215,3.31637337330512e-214
"EFEADKAH_01739",2392.57725189764,-2.69333051264291,0.0722540332310464,-37.2758501110998,4.04108047033288e-304,7.20699203407297e-303
"EFEADKAH_02573",1945.30148746784,-2.67185847227934,0.0757194159487402,-35.2863058807547,9.52529793036044e-273,1.47226912626186e-271
"EFEADKAH_01926",719.13301099271,-2.66774173848368,0.10114669465624,-26.3749769337528,2.65428584548927e-153,2.25352606712807e-152
"EFEADKAH_00095",1149.14208969034,-2.65937876357558,0.0857603064401839,-31.0094363460611,4.02193529286239e-211,4.73520037995595e-210
"EFEADKAH_01000",2205.33503875096,-2.65692306018114,0.0743554290698178,-35.7327379240372,1.22669168483378e-279,1.9459203884679e-278
"EFEADKAH_01580",1537.5324382681,-2.6537664877804,0.0898622450748962,-29.5314955192651,1.13512967065014e-191,1.20467634765477e-190
"EFEADKAH_00827",6667.79486745329,-2.63987511644992,0.0781545435969162,-33.7776282088619,4.20269053895219e-250,6.06072214564684e-249
"EFEADKAH_02692",2066.52076525915,-2.63546534619609,0.0972577587516305,-27.0977388336322,1.04694471405558e-161,9.30823412437614e-161
"EFEADKAH_00283",136.053153925149,-2.62319050720281,0.199081771203035,-13.176447503712,1.19905390773113e-39,3.97137195373804e-39
"EFEADKAH_01506",24128.0701479523,-2.62307447762352,0.0586772182897821,-44.7034565386051,0,0
"EFEADKAH_01026",30206.9803549452,-2.61835455469781,0.0561968120752053,-46.592581643133,0,0
"EFEADKAH_01508",7121.1579928243,-2.61746273205619,0.0580864568244951,-45.0614975529443,0,0
"EFEADKAH_01957",8159.65348655122,-2.61258302940771,0.062026109622354,-42.1206979659763,0,0
"EFEADKAH_01494",15523.2228402898,-2.61044757150586,0.0575110469581632,-45.3903677567346,0,0
"EFEADKAH_01502",20708.9043015859,-2.60786288363763,0.057666177687555,-45.2234392535512,0,0
"EFEADKAH_01500",17784.6887377372,-2.58975061892413,0.055204044470635,-46.9123348435406,0,0
"EFEADKAH_01512",10419.4222523506,-2.58765582461281,0.0871157958318966,-29.703635258135,6.89187565383614e-194,7.47198317290005e-193
"EFEADKAH_01489",6275.64206196521,-2.58439683589607,0.0676334775011286,-38.2117988218622,0,0
"EFEADKAH_02852",1507.70554901583,-2.58066288123225,0.0817167880571575,-31.5805716620578,6.82470063832974e-219,8.49985443137431e-218
"EFEADKAH_00825",4433.65126540772,-2.56685236804192,0.0615145431921662,-41.7275693655611,0,0
"EFEADKAH_01499",32053.8614348848,-2.562007064009,0.0606430631226161,-42.2473228113297,0,0
"EFEADKAH_01498",7355.11327742283,-2.55860395033264,0.0964183179484085,-26.5364922846062,3.67756463446029e-155,3.13112423962241e-154
"EFEADKAH_01025",25636.8492584759,-2.54815132118677,0.0576587641668706,-44.1936513556231,0,0
"EFEADKAH_01515",12938.40155601,-2.54566652824225,0.0605834395743228,-42.0191812503361,0,0
"EFEADKAH_01287",896.228519237609,-2.54344892866656,0.0918113495991077,-27.7029903140785,6.42639701972888e-169,5.9597417284501e-168
"EFEADKAH_01501",37093.97733437,-2.53537902723337,0.0644115221583727,-39.362197046042,0,0
"EFEADKAH_01277",222.119752709074,-2.5266595691628,0.162346220623423,-15.5634024584017,1.29052194764113e-54,5.22800154595481e-54
"EFEADKAH_02054",39.1105068045456,-2.51289530546888,0.354698454662679,-7.08459614761691,1.39450366691554e-12,2.880763572367e-12
"EFEADKAH_01019",1460.86922510706,-2.49481034671879,0.0768050896816428,-32.4823570554996,1.89262086084713e-231,2.45877554939364e-230
"EFEADKAH_00382",3787.13382032067,-2.49322310633692,0.0658315450920282,-37.8727721315299,0,0
"EFEADKAH_01286",674.851940852953,-2.49290214417976,0.102172978818016,-24.3988398206532,1.7593688393544e-131,1.33234615120959e-130
"EFEADKAH_00824",7787.74109804986,-2.49051851700626,0.056164736589116,-44.3430997500465,0,0
"EFEADKAH_01507",33525.4811610461,-2.48377476948609,0.0596778682204306,-41.6196966069873,0,0
"EFEADKAH_01513",10857.8966574857,-2.46380869399816,0.0764195682706719,-32.2405471498026,4.7730473596378e-228,6.12168712423334e-227
"EFEADKAH_01764",249.941180296025,-2.46209573419862,0.146796819756337,-16.7721326544087,3.90247147376866e-63,1.7246406190526e-62
"EFEADKAH_00879",507.82972227646,-2.45623172793573,0.116099095942326,-21.156338109264,2.41246822087542e-99,1.48999574133576e-98
"EFEADKAH_00277",846.965661012897,-2.45143942167709,0.0980247057626336,-25.0083833723841,4.95565000602724e-138,3.91003380056704e-137
"EFEADKAH_01902",4282.29215085483,-2.4475085566211,0.0873732823957219,-28.0120935085866,1.15748155700516e-172,1.09705956377784e-171
"EFEADKAH_01495",15792.8723736097,-2.44523358512531,0.0625251843475796,-39.1079788190975,0,0
"EFEADKAH_01154",452.486305918497,-2.42770516410126,0.11420585178238,-21.2572747036401,2.8234342201333e-100,1.75460427618181e-99
"EFEADKAH_02109",37342.4403132712,-2.42764214615807,0.0600906015146525,-40.3996978723222,0,0
"EFEADKAH_01085",4766.17974711417,-2.42279729585022,0.0624797171449027,-38.7773409766129,0,0
"EFEADKAH_01901",6078.67710520899,-2.41432119053988,0.0720054188241425,-33.5297152626295,1.77876470948342e-246,2.50523216559955e-245
"EFEADKAH_01079",564.236453956321,-2.41430477021641,0.108120732583149,-22.329711541306,1.9015063277694e-110,1.27076276538736e-109
"EFEADKAH_00826",6684.04056155744,-2.40818933157303,0.0586733622225146,-41.0439974862893,0,0
"EFEADKAH_00548",5983.82711554197,-2.40763631559849,0.0800015059013236,-30.0948874458456,5.65228888024856e-199,6.2863463782543e-198
