"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_00001",140.932673328612,0.275015887490155,0.157418524466647,1.74703636958829,0.0806310295633485,0.101725375932998
"EFEADKAH_00003",1172.15416037123,-0.758219427085235,0.0746491797203306,-10.1571032652451,3.08094246371287e-24,8.11709841401274e-24
"EFEADKAH_00004",278.838862436095,-0.980700064084809,0.128612458070957,-7.62523381322631,2.43592464230154e-14,5.23671674172385e-14
"EFEADKAH_00005",1210.86548757291,0.076973897255416,0.0755090926829513,1.01939904878231,0.308013557567957,0.35664727718395
"EFEADKAH_00006",926.65615521909,0.453206255295868,0.0808335889598666,5.60665759280938,2.06271160824732e-08,3.73394161396842e-08
"EFEADKAH_00007",510.866672459421,0.383623709662885,0.102133115254339,3.75611483804795,0.000172571530055157,0.000266870493374164
"EFEADKAH_00008",73.7126290274578,-0.408350984535282,0.216362754129614,-1.88734417889068,0.0591140479151186,0.0759785673416492
"EFEADKAH_00009",117.813136522557,0.0403154033153645,0.180040310141249,0.223924316080857,0.82281619461993,0.851345008782859
"EFEADKAH_00010",11329.1406852324,0.701246931939975,0.0526665088736688,13.3148550556494,1.89740326136587e-40,6.35419269972969e-40
"EFEADKAH_00011",1268.19252558422,-0.297464337028566,0.0760785342234282,-3.90996409256479,9.23098421261783e-05,0.00014543746166665
"EFEADKAH_00012",767.520449074611,0.564844317868063,0.0817038332833798,6.91331477568463,4.73457754166308e-12,9.62889116772776e-12
"EFEADKAH_00013",821.768798949747,0.729782840320934,0.0834775170881003,8.74226816725679,2.28476378617614e-18,5.37570495826299e-18
"EFEADKAH_00014",1225.56652491823,0.539119601568601,0.0824942239687236,6.53524059785083,6.3507364710349e-11,1.24454614588421e-10
"EFEADKAH_00015",5809.53097122489,0.795972900371812,0.0597367488074864,13.3246772926494,1.66350532307799e-40,5.58330183046442e-40
"EFEADKAH_00016",20653.3963833798,0.116557963195053,0.0637143123548687,1.82938430765543,0.0673420567498828,0.0858219699975251
"EFEADKAH_00017",5.81068433161443,-0.745476838057375,0.768562991774429,-0.969961923792669,0.332065471765086,0.381710652898539
"EFEADKAH_00018",53.4835472422609,1.3418625930671,0.257472607084221,5.21167128520266,1.87146938850434e-07,3.27942368427446e-07
"EFEADKAH_00019",0,NA,NA,NA,NA,NA
"EFEADKAH_00020",6.3661959500647,-0.808043263266981,0.770412804564068,-1.04884453955072,0.294249674465688,0.341365865604151
"EFEADKAH_00021",223.848300389841,-0.246791500084883,0.151480922115863,-1.62919195788972,0.103272388905144,0.128727452506247
"EFEADKAH_00022",4056.9830409158,3.36019679694757,0.0905576418212421,37.1056128380694,2.28091425765502e-301,3.97380090900128e-300
"EFEADKAH_00023",12.6828346380617,0.107163500438743,0.512342268469088,0.2091638871783,0.834320302727768,0.861178559048457
"EFEADKAH_00024",4790.57700120917,2.96472519173604,0.095869626948101,30.9245512485513,5.58760001647901e-210,6.55292857963726e-209
"EFEADKAH_00025",1684.28259589364,-0.869883838113323,0.0673477781356841,-12.9162960114406,3.64258741404545e-38,1.17671580556624e-37
